Date_Time,amount_consumed,latency_to_consumption,Type,Frame
2026-09-07 17:22:17.025684,,,drink,0
2026-09-07 17:22:17.026425,,,start,0
2026-09-07 17:22:17.027683,,,drink,0
2026-09-07 17:22:17.028413,,,start,0
2026-09-07 17:22:17.029684,,,drink,0
2026-09-07 17:22:17.030463,,,start,0
2026-09-07 17:22:17.031686,,,drink,0
2026-09-07 17:22:17.032422,,,start,0
2026-09-07 17:22:17.033684,,,drink,0
2026-09-07 17:22:17.034428,,,start,0
2026-09-07 17:22:17.035688,,,drink,0
2026-09-07 17:22:17.036418,,,start,0
2026-09-07 17:22:17.037684,,,drink,0
2026-09-07 17:22:17.038441,,,start,0
2026-09-07 17:22:17.039653,,,drink,0
2026-09-07 17:22:17.040385,,,start,0
2026-09-07 17:22:17.041655,,,drink,0
2026-09-07 17:22:17.042393,,,start,0
2026-09-07 17:22:17.043655,,,drink,0
2026-09-07 17:22:17.044387,,,start,0
2026-09-07 17:22:17.045655,,,drink,0
2026-09-07 17:22:17.046392,,,start,0
2026-09-07 17:22:17.047685,,,drink,0
2026-09-07 17:22:17.048411,,,start,0
2026-09-07 17:22:17.049686,,,drink,0
2026-09-07 17:22:17.050430,,,start,0
2026-09-07 17:22:17.051685,,,drink,0
2026-09-07 17:22:17.052419,,,start,0
2026-09-07 17:22:17.053686,,,drink,0
2026-09-07 17:22:17.054430,,,start,0
2026-09-07 17:22:17.055686,,,drink,0
2026-09-07 17:22:17.056416,,,start,0
2026-09-07 17:22:17.057685,,,drink,0
2026-09-07 17:22:17.058417,,,start,0
2026-09-07 17:22:17.059685,,,drink,0
2026-09-07 17:22:17.060411,,,start,0
2026-09-07 17:22:17.061685,,,drink,0
2026-09-07 17:22:17.062431,,,start,0
2026-09-07 17:22:17.063684,,,drink,0
2026-09-07 17:22:17.064410,,,start,0
2026-09-07 17:22:17.065697,,,drink,0
2026-09-07 17:22:17.066479,,,start,0
2026-09-07 17:22:17.067656,,,drink,0
2026-09-07 17:22:17.068387,,,start,0
2026-09-07 17:22:17.069659,,,drink,0
2026-09-07 17:22:17.070393,,,start,0
2026-09-07 17:22:17.071656,,,drink,0
2026-09-07 17:22:17.072380,,,start,0
2026-09-07 17:22:17.073686,,,drink,0
2026-09-07 17:22:17.074419,,,start,0
2026-09-07 17:22:17.075686,,,drink,0
2026-09-07 17:22:17.076413,,,start,0
2026-09-07 17:22:17.077687,,,drink,0
2026-09-07 17:22:17.078419,,,start,0
2026-09-07 17:22:17.079686,,,drink,0
2026-09-07 17:22:17.080409,,,start,0
