Date_Time,amount_consumed,latency_to_consumption,Type
2026-04-11 13:40:13.662347,,,eat
2026-04-11 13:40:13.664035,,,start
2026-04-11 13:40:13.666331,,,eat
2026-04-11 13:40:13.667792,,,start
2026-04-11 13:40:13.669319,,,eat
2026-04-11 13:40:13.670459,,,start
2026-04-11 13:40:13.671401,,,eat
2026-04-11 13:40:13.672349,,,start
2026-04-11 13:40:13.673502,,,eat
2026-04-11 13:40:13.674397,,,start
2026-04-11 13:40:13.675297,,,eat
2026-04-11 13:40:13.676195,,,start
2026-04-11 13:40:13.679983,,,eat
2026-04-11 13:40:13.681402,,,start
2026-04-11 13:40:13.683349,,,eat
2026-04-11 13:40:13.684528,,,start
2026-04-11 13:40:13.687708,,,eat
2026-04-11 13:40:13.688778,,,start
2026-04-11 13:48:51.994348,,,drink
2026-04-11 13:48:54.212803,,,start
2026-04-11 13:49:11.406110,,,eat
2026-04-11 13:49:17.865677,,,start
2026-04-11 13:50:52.024140,,,exit
2026-04-11 13:50:54.619781,,,block_end
2026-04-11 14:33:05.314200,,,initialize
2026-04-12 13:03:49.237418,,,initialize
2026-04-12 13:07:32.286487,,,block_start
2026-04-12 13:07:35.060547,,,start
2026-04-12 13:07:35.062440,,,start
2026-04-12 13:07:41.287792,,,drink
2026-04-12 13:07:46.127099,,,start
2026-04-12 13:07:52.807092,,,drink
2026-04-12 13:07:56.782463,,,start
2026-04-12 13:08:00.348927,,,drink
2026-04-12 13:08:11.519916,,,start
2026-04-12 13:08:19.841084,,,eat
2026-04-12 13:08:26.958710,,,start
2026-04-12 13:08:27.718738,,,eat
2026-04-12 13:08:27.876599,,,start
2026-04-12 13:08:27.878149,,,eat
2026-04-12 13:08:27.879146,,,start
2026-04-12 13:08:27.880116,,,eat
2026-04-12 13:08:27.880916,,,start
2026-04-12 13:08:27.882146,,,eat
2026-04-12 13:08:27.882945,,,start
2026-04-12 13:08:27.884154,,,eat
2026-04-12 13:08:27.884907,,,start
2026-04-12 13:08:27.886114,,,eat
2026-04-12 13:08:27.886976,,,start
2026-04-12 13:08:27.888116,,,eat
2026-04-12 13:08:27.888870,,,start
2026-04-12 13:08:27.890145,,,eat
2026-04-12 13:08:27.891111,,,start
2026-04-12 13:08:27.892151,,,eat
2026-04-12 13:08:27.892913,,,start
2026-04-12 13:08:27.894163,,,eat
2026-04-12 13:08:27.895190,,,start
2026-04-12 13:08:27.897174,,,eat
2026-04-12 13:08:27.898069,,,start
2026-04-12 13:08:27.899151,,,eat
2026-04-12 13:08:27.900081,,,start
2026-04-12 13:08:27.901189,,,eat
2026-04-12 13:08:27.902372,,,start
2026-04-12 13:08:27.903332,,,eat
2026-04-12 13:08:27.904146,,,start
2026-04-12 13:08:27.906176,,,eat
2026-04-12 13:08:27.907174,,,start
2026-04-12 13:08:27.908157,,,eat
2026-04-12 13:08:27.908930,,,start
2026-04-12 13:08:27.910149,,,eat
2026-04-12 13:08:27.910909,,,start
2026-04-12 13:08:27.912108,,,eat
2026-04-12 13:08:27.912841,,,start
2026-04-12 13:08:27.914117,,,eat
2026-04-12 13:08:27.914898,,,start
2026-04-12 13:08:27.916126,,,eat
2026-04-12 13:08:27.917185,,,start
2026-04-12 13:08:27.918171,,,eat
2026-04-12 13:08:27.919367,,,start
2026-04-12 13:08:27.921174,,,eat
2026-04-12 13:08:27.922056,,,start
2026-04-12 13:08:27.923152,,,eat
